,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,rbf.rep.2.tp.3_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_0001H,607.53,699.166,589.258,1239.68,1177.15,1103.5,1708.7,1872.29,2252.12,1532.85,70.9297,1374.04,1137.44,90.4957,85.386,108.673,71.4742,61.9065,80.9314,84.4797,91.4989,99.7707,101.37,79.9416
VNG_0002G,477.157,502.541,485.647,1163.36,877.206,974.79,1015.82,2133.16,1913.06,1408.18,15.3261,1304.32,1000.52,0,53.407,26.836,11.8798,12.1604,64.4265,52.1539,52.7214,49.7489,127.769,0
VNG_0003C,299.213,330.132,347.258,843.371,676.295,729.969,887.218,1619.58,1493.05,1226.63,31.3675,1120.68,898.823,55.5837,9.937,41.1935,6.07852,62.2208,28.2558,13.3428,13.488,8.485,0,66.2867
VNG_0005H,155.773,154.621,144.873,177.737,146.819,175.371,77.0496,126.89,116.751,83.2308,161.341,91.6288,74.1937,324.018,216.16,251.61,270.966,218.692,260.393,165.855,196.566,65.4647,56.0441,47.3542
VNG_0006G,452.396,463.043,481.592,467.272,450.582,476.953,426.311,674.071,658.926,471.818,53.3011,505.684,422.638,125.934,133.676,110.83,120.504,144.495,98.6943,37.7878,61.1183,24.0301,42.3197,50.061
VNG_0008G,272.409,317.681,272.762,282.196,312.538,268.584,259.487,384.563,370.729,280.336,14.4446,294.997,234.924,0,11.4398,22.131,33.5895,5.73048,17.3489,12.2886,0,15.6292,8.60149,20.3498
VNG_0009G,176.804,232.815,177.036,170.177,199.422,179.607,152.698,178.437,202.39,95.7742,7.09297,98.2051,93.0734,10.0551,11.235,6.20991,5.49801,11.2557,4.25955,12.0685,6.09993,0,33.7899,0
VNG_0011C,434.032,412.407,354.984,295.355,269.289,356.064,158.443,113.622,116.426,84.125,98.2874,81.3811,87.4981,90.1568,73.2628,43.0254,67.223,77.9854,93.745,19.6746,94.471,56.3018,34.4284,97.7428
VNG_0013C,4253.23,4847.24,4993.87,7403.35,7012.09,7080.81,11434.8,16687.4,20348.8,17326.7,7.61573,16527.9,14665.1,86.3691,48.2521,60.0083,29.5161,48.3411,59.4553,77.7479,13.099,16.4806,9.07005,21.4583
VNG_0014C,82.8949,76.3341,135.165,126.603,108.298,140.177,162.924,199.299,233.543,207.731,198.598,178.5,201.616,0,314.572,86.9365,0,315.152,119.264,337.91,512.38,214.885,236.523,559.577
VNG_0015H,261.92,307.614,388.22,353.975,406.898,287.401,605.111,328.725,341.081,425.236,623.875,376.684,622.477,0,296.458,682.755,1208.97,742.514,749.313,0,268.265,2700.16,371.506,0
VNG_0016H,342.354,409.366,482.215,461.474,534.837,626.985,618.277,561.35,611.488,1186.12,83.1297,931.598,1444.52,0,39.5023,54.5852,64.4368,98.9379,124.805,0,142.982,0,99.0044,0
VNG_0017H,31.195,53.2483,47.1434,26.1212,48.5649,74.624,165.93,14.7451,48.5878,22.5675,0,33.959,70.3205,0,22.5174,31.1151,0,0,42.6854,0,122.256,0,0,0
VNG_0018H,24.3722,69.0458,63.7267,35.5135,55.8278,70.4818,227.929,17.6021,67.6695,26.4676,0,47.2955,109.596,0,62.3373,43.0696,76.2643,0,0,0,169.227,0,0,0
VNG_0019H,7032.62,10597.1,11283.1,3878.23,14114,17866.9,9197.97,5077.09,9037.62,19488.2,48192.2,20942.3,13106.2,17079.4,25190.4,44302,22413.3,17207,15917.5,32799.2,26939.3,54751.6,74613.6,13578.8
VNG_0020H,11.672,37.6269,33.9698,17.3729,40.7719,38.1003,134.273,18.3273,53.6611,21.2125,49.4887,23.7581,77.8209,116.926,162.002,158.867,140.655,209.421,158.504,84.2039,113.493,89.2454,98.2319,46.4803
VNG_0021H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
