tracking_id,trna.rep.1.tp.1_0,trna.rep.1.tp.2_0,trna.rep.1.tp.3_0,trna.rep.1.tp.4_0,rbf.rep.1.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.1.tp.3_0,trna.rep.3.tp.2_0,trna.rep.3.tp.3_0,trna.rep.3.tp.1_0,trna.rep.3.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.2.tp.1_0,rbf.rep.2.tp.3_0,rbf.rep.2.tp.2_0,trna.rep.2.tp.1_0,trna.rep.2.tp.3_0,trna.rep.2.tp.2_0,trna.rep.2.tp.4_0,rbf.rep.3.tp.2_0,rbf.rep.3.tp.3_0,rbf.rep.3.tp.1_0,rbf.rep.3.tp.4_0
VNG_0001H,607.53,1239.68,1708.7,1532.85,99.7707,90.4957,71.4742,84.4797,1103.5,2252.12,589.258,1137.44,101.37,85.386,70.9297,61.9065,699.166,1872.29,1177.15,1374.04,80.9314,91.4989,108.673,79.9416
VNG_0002G,477.157,1163.36,1015.82,1408.18,49.7489,0,11.8798,52.1539,974.79,1913.06,485.647,1000.52,127.769,53.407,15.3261,12.1604,502.541,2133.16,877.206,1304.32,64.4265,52.7214,26.836,0
VNG_0003C,299.213,843.371,887.218,1226.63,8.485,55.5837,6.07852,13.3428,729.969,1493.05,347.258,898.823,0,9.937,31.3675,62.2208,330.132,1619.58,676.295,1120.68,28.2558,13.488,41.1935,66.2867
VNG_0005H,155.773,177.737,77.0496,83.2308,65.4647,324.018,270.966,165.855,175.371,116.751,144.873,74.1937,56.0441,216.16,161.341,218.692,154.621,126.89,146.819,91.6288,260.393,196.566,251.61,47.3542
VNG_0006G,452.396,467.272,426.311,471.818,24.0301,125.934,120.504,37.7878,476.953,658.926,481.592,422.638,42.3197,133.676,53.3011,144.495,463.043,674.071,450.582,505.684,98.6943,61.1183,110.83,50.061
VNG_0008G,272.409,282.196,259.487,280.336,15.6292,0,33.5895,12.2886,268.584,370.729,272.762,234.924,8.60149,11.4398,14.4446,5.73048,317.681,384.563,312.538,294.997,17.3489,0,22.131,20.3498
VNG_0009G,176.804,170.177,152.698,95.7742,0,10.0551,5.49801,12.0685,179.607,202.39,177.036,93.0734,33.7899,11.235,7.09297,11.2557,232.815,178.437,199.422,98.2051,4.25955,6.09993,6.20991,0
VNG_0011C,434.032,295.355,158.443,84.125,56.3018,90.1568,67.223,19.6746,356.064,116.426,354.984,87.4981,34.4284,73.2628,98.2874,77.9854,412.407,113.622,269.289,81.3811,93.745,94.471,43.0254,97.7428
VNG_0013C,4253.23,7403.35,11434.8,17326.7,16.4806,86.3691,29.5161,77.7479,7080.81,20348.8,4993.87,14665.1,9.07005,48.2521,7.61573,48.3411,4847.24,16687.4,7012.09,16527.9,59.4553,13.099,60.0083,21.4583
VNG_0014C,82.8949,126.603,162.924,207.731,214.885,0,0,337.91,140.177,233.543,135.165,201.616,236.523,314.572,198.598,315.152,76.3341,199.299,108.298,178.5,119.264,512.38,86.9365,559.577
