,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_0001H,165.67,170.45,139.58,318.54,310.13,255.52,621.37,564.95,582.39,292.79,289.73,233.47,80.41,85.28,112.55,75.32,58.19,80.35,88.77,66.78,105.17,108.19,104.12,96.99
VNG_0002G,130.12,122.51,115.04,298.93,231.11,225.71,369.40,643.67,494.71,268.98,275.02,205.36,0.00,53.34,27.79,12.52,11.43,63.96,54.81,14.43,60.60,53.95,131.23,0.00
VNG_0003C,81.59,80.48,82.26,216.71,178.18,169.03,322.64,488.70,386.10,234.30,236.30,184.49,49.39,9.92,42.66,6.41,58.49,28.05,14.02,29.53,15.50,9.20,0.00,80.42
VNG_0005H,42.48,37.69,34.32,45.67,38.68,40.61,28.02,38.29,30.19,15.90,19.32,15.23,287.91,215.88,260.59,285.56,205.58,258.51,174.29,151.89,225.94,70.99,57.56,57.45
VNG_0006G,123.36,112.88,114.08,120.07,118.71,110.44,155.03,203.40,170.40,90.12,106.63,86.75,111.90,133.50,114.79,127.00,135.83,97.98,39.71,50.18,70.25,26.06,43.47,60.74
VNG_0008G,74.28,77.45,64.61,72.51,82.34,62.19,94.36,116.04,95.87,53.55,62.20,48.22,0.00,11.43,22.92,35.40,5.39,17.22,12.91,13.60,0.00,16.95,8.83,24.69
VNG_0009G,48.21,56.76,41.94,43.73,52.54,41.59,55.53,53.84,52.34,18.29,20.71,19.10,8.93,11.22,6.43,5.79,10.58,4.23,12.68,6.68,7.01,0.00,34.71,0.00
VNG_0011C,118.36,100.54,84.09,75.89,70.95,82.45,57.62,34.28,30.11,16.07,17.16,17.96,80.11,73.17,44.56,70.84,73.31,93.07,20.67,92.53,108.59,61.05,35.36,118.59
VNG_0013C,1159.82,1181.69,1182.96,1902.31,1847.41,1639.57,4158.25,5035.31,5262.14,3309.60,3485.02,3010.13,76.74,48.19,62.15,31.11,45.44,59.03,81.70,7.17,15.06,17.87,9.32,26.03
VNG_0014C,22.60,18.61,32.02,32.53,28.53,32.46,59.25,60.14,60.39,39.68,37.64,41.38,0.00,314.17,90.04,0.00,296.25,118.40,355.09,186.97,588.94,233.02,242.93,678.92
VNG_0015H,71.42,74.99,91.96,90.95,107.20,66.55,220.05,99.19,88.20,81.22,79.43,127.77,0.00,296.08,707.13,1274.11,697.98,743.91,0.00,587.35,308.35,2928.01,381.57,0.00
VNG_0016H,93.36,99.80,114.23,118.58,140.91,145.18,224.84,169.38,158.13,226.56,196.43,296.50,0.00,39.45,56.53,67.91,93.00,123.90,0.00,78.26,164.35,0.00,101.69,0.00
VNG_0017H,8.51,12.98,11.17,6.71,12.79,17.28,60.34,4.45,12.56,4.31,7.16,14.43,0.00,22.49,32.23,0.00,0.00,42.38,0.00,0.00,140.52,0.00,0.00,0.00
VNG_0018H,6.65,16.83,15.10,9.13,14.71,16.32,82.89,5.31,17.50,5.06,9.97,22.50,0.00,62.26,44.61,80.37,0.00,0.00,0.00,0.00,194.51,0.00,0.00,0.00
VNG_0019H,1917.74,2583.43,2672.76,996.52,3718.48,4137.11,3344.83,1531.98,2337.10,3722.47,4415.83,2690.15,15176.22,25157.96,45883.30,23620.85,16175.00,15802.62,34466.82,45370.48,30964.43,59371.77,76634.32,16474.75
VNG_0020H,3.18,9.17,8.05,4.46,10.74,8.82,48.83,5.53,13.88,4.05,5.01,15.97,103.90,161.79,164.54,148.23,196.86,157.36,88.49,46.59,130.45,96.78,100.89,56.39
VNG_0021H,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VNG_0022H,9.53,13.49,13.76,8.25,11.25,10.09,53.37,5.02,12.51,9.77,7.42,14.20,130.08,58.81,103.00,84.36,46.21,61.57,184.64,77.78,163.33,121.16,151.58,70.61
VNG_0023H,3.73,4.68,5.45,3.52,5.13,5.06,33.64,4.84,7.48,5.11,5.70,9.30,20.64,36.28,37.14,26.77,0.00,78.14,0.00,0.00,32.39,0.00,20.04,56.00
VNG_0024H,6.79,12.45,12.09,6.93,13.46,11.37,90.93,8.84,21.76,11.51,11.88,23.05,514.18,535.03,660.95,238.18,347.95,521.49,1355.43,768.59,518.78,684.20,1141.27,598.04
VNG_0025H,80.91,105.36,96.06,145.34,141.43,159.33,552.58,264.24,371.08,268.90,280.89,293.40,0.00,31.13,0.00,0.00,0.00,175.98,0.00,0.00,0.00,0.00,361.05,0.00
VNG_0026C,97.95,97.62,117.51,143.52,128.65,157.58,306.34,420.42,608.87,458.41,513.92,417.07,422.23,614.47,487.20,467.10,286.77,517.24,70.51,83.53,107.20,34.70,84.42,0.00
VNG_0027H,4.82,7.77,8.07,6.05,9.71,8.31,66.48,6.75,12.02,4.42,6.43,15.06,140.58,151.32,115.65,156.28,178.37,114.06,142.53,60.04,78.80,37.41,39.00,109.00
