,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_0001H,165.6683341,170.4473257,139.5846139,318.5390257,310.132671,255.5170821,621.3667908,564.9505985,582.3913632,292.7917196,289.7256567,233.4685593,80.41163357,85.276042,112.5519375,75.32498966,58.19363546,80.34731695,88.77491946,66.77667184,105.17019,108.1897741,104.1153543,96.99075753
VNG_0002G,130.1167108,122.5127788,115.0410329,298.9284016,231.1092383,225.7140883,369.4017753,643.6663223,494.7114813,268.9783369,275.0247217,205.364646,0,53.33822377,27.79387515,12.51984369,11.43107565,63.96153304,54.8055719,14.42873649,60.59875754,53.9469228,131.2293055,0
VNG_0003C,81.59287486,80.48176906,82.25916973,216.7063892,178.1771013,169.0254181,322.6358058,488.6970984,386.0981763,234.3002297,236.3029817,184.4905321,49.38992811,9.924203374,42.66384692,6.406010226,58.4890852,28.05187749,14.02119083,29.53089121,15.50330685,9.201000223,0,80.42367487
VNG_0005H,42.47799025,37.69453314,34.31780606,45.66998806,38.68102504,40.6074184,28.01899847,38.28818262,30.19145252,15.89802594,19.32055417,15.22884394,287.9122067,215.8816344,260.5908826,285.5647373,205.5758689,258.5137401,174.2876012,151.8942701,225.93587,70.98888854,57.56191503,57.45343764
VNG_0006G,123.3645938,112.8836944,114.0804764,120.0667653,118.7106139,110.4391834,155.0275051,203.3962767,170.3962539,90.12258444,106.6269024,86.74979336,111.9009927,133.5038553,114.7859287,126.9963505,135.8288605,97.98202185,39.7090532,50.18024979,70.25027869,26.05786157,43.4658238,60.7375173
VNG_0008G,74.28364893,77.44638168,64.61240822,72.51100194,82.34145583,62.19102853,94.36214926,116.0392338,95.8693887,53.54735265,62.20211897,48.22000969,0,11.42506811,22.92093646,35.39918936,5.386792407,17.22369274,12.91339192,13.59884948,0,16.94805807,8.834439959,24.68980503
VNG_0009G,48.21296751,56.75718519,41.93664184,43.72742625,52.53984413,41.58827056,55.52845217,53.84213447,52.33743672,18.29395747,20.70721165,19.10405173,8.934645698,11.22053184,6.431564437,5.794224299,10.58063536,4.228808768,12.68210133,6.677667184,7.011349833,0,34.70501538,0
VNG_0011C,118.3568851,100.5393144,84.08932007,75.89224148,70.9470474,82.4471539,57.61761481,34.2846551,30.10740851,16.06882827,17.1597571,17.9596773,80.11049769,73.16845396,44.56113414,70.84474929,73.30819766,93.06844102,20.6749199,92.53254217,108.5863658,61.05278425,35.36080757,118.5884222
VNG_0013C,1159.820139,1181.692324,1182.957916,1902.310189,1847.409592,1639.572189,4158.251875,5035.307894,5262.137617,3309.596039,3485.019855,3010.127803,76.74486656,48.18996213,62.15021606,31.10632826,45.44182519,59.02621026,81.70085311,7.169818892,15.05618449,17.8713028,9.315689741,26.034715
VNG_0014C,22.60474379,18.6092333,32.0181556,32.53097272,28.53225843,32.45819485,59.24712531,60.13709913,60.39350751,39.67897492,37.6379361,41.38327916,0,314.1669019,90.03958216,0,296.2506458,118.40327,355.0904304,186.9698233,588.9371562,233.0179061,242.9286371,678.9180743
VNG_0015H,71.42338663,74.99218163,91.96233024,90.95480415,107.2016001,66.54813314,220.0479195,99.19050226,88.20250632,81.22489459,79.42637716,127.7683292,0,296.0762286,707.1250271,1274.10524,697.9814565,743.9051976,0,587.34629,308.3477618,2928.010932,381.5673158,0
VNG_0016H,93.35706363,99.79795921,114.2280539,118.576954,140.9084886,145.1793183,224.8357203,169.3834921,158.1289318,226.5623606,196.4337591,296.4991589,0,39.4514299,56.53354575,67.9084382,93.00406396,123.9042806,0,78.26234564,164.3456272,0,101.6856879,0
VNG_0017H,8.50661479,12.98122382,11.1674229,6.711910813,12.79493875,17.27929926,60.34025376,4.449232261,12.56465689,4.310648225,7.160485558,14.43383899,0,22.48840264,32.2257119,0,0,42.37733887,0,0,140.522856,0,0,0
VNG_0018H,6.64609447,16.83244317,15.09570818,9.125286919,14.70842691,16.32016663,82.88611884,5.311312312,17.49912631,5.05561152,9.972577069,22.49544611,0,62.25702355,44.6069118,80.37316414,0,0,0,0,194.5120187,0,0,0
VNG_0019H,1917.736474,2583.431339,2672.7633,996.5213647,3718.483217,4137.107526,3344.831217,1531.976902,2337.100968,3722.467032,4415.826046,2690.151245,15176.21781,25157.96042,45883.30067,23620.85327,16175.004,15802.62318,34466.81674,45370.48267,30964.43017,59371.77181,76634.32374,16474.7528
VNG_0020H,3.182856478,9.172935299,8.046834181,4.464012196,10.74179013,8.82218168,48.8282221,5.530136412,13.8765968,4.051827871,5.009556581,15.97335543,103.8967671,161.7933778,164.5375452,148.2330186,196.8609004,157.3600744,88.4850969,46.59107087,130.4505341,96.77630469,100.8922666,56.39316085
VNG_0021H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0022H,9.526372337,13.48781245,13.76137556,8.254757133,11.24837221,10.08823583,53.37055989,5.015935987,12.51379087,9.765950956,7.420240031,14.20136388,130.0802168,58.80996831,103.0018062,84.3588202,46.21349142,61.56773471,184.6405086,77.77674641,163.3260963,121.1647567,151.5819726,70.60504348
